city,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
Juneau,90,US,1536872160,80,58.3,-134.42,55.94,5.82
Alberton,0,ZA,1536872400,16,-26.25,28.13,57.2,6.93
Palmer,0,AU,1536874200,74,-34.85,139.16,55.4,13.87
Berezovyy,80,RU,1536875952,100,51.67,135.7,47.48,2.71
Cristalina,24,BR,1536875953,31,-16.77,-47.61,81.59,7.07
Dwarka,20,IN,1536874200,78,28.58,77.04,80.6,8.63
Arlit,44,NE,1536875953,13,18.74,7.39,91.4,11.77
Codajas,32,BR,1536875954,94,-3.84,-62.06,78.8,3.6
Virginia Beach,75,US,1536875640,91,36.85,-75.98,82.04,24.29
Kamen-Rybolov,0,RU,1536875954,100,44.75,132.04,58.37,5.39
Hovd,75,NO,1536873600,81,63.83,10.7,50.0,11.41
Comodoro Rivadavia,0,AR,1536872400,39,-45.87,-67.48,64.4,14.99
Poum,40,MK,1536872400,62,41.28,20.71,59.0,4.7
Maceio,0,BR,1536876000,73,-9.67,-35.74,73.4,4.7
Senanga,0,ZM,1536875956,44,-16.1,23.3,62.96,4.05
Baiyin,0,CN,1536872400,66,36.55,104.13,50.0,4.47
Gossaigaon,92,IN,1536875956,98,26.45,89.99,72.32,3.94
Gornopravdinsk,92,RU,1536875957,95,60.06,69.92,53.96,11.32
Kushima,75,JP,1536873000,94,31.5,131.29,75.2,4.7
Senador Guiomard,40,BR,1536876000,54,-10.15,-67.74,80.6,17.22
Kasempa,0,ZM,1536875959,42,-13.46,25.83,65.3,4.72
Tautira,20,PF,1536874200,66,-17.73,-149.15,84.2,12.75
Iberia,36,PE,1536875959,87,-11.41,-69.49,81.23,1.48
Mpika,0,ZM,1536875959,48,-11.84,31.4,60.53,5.73
Athens,75,US,1536874680,97,34.8,-86.97,82.04,4.7
Rio Grande,0,BR,1536875100,82,-32.03,-52.1,64.4,1.12
Fuchu,75,JP,1536873000,100,36.65,137.14,68.0,1.12
Fereydun Kenar,0,IR,1536875707,94,36.69,52.52,67.64,2.59
